TICKNUMB,MUSIC,DAY1,DAY2,DAY3,CHANGE
4511.0,2.0,1.23,1.11,0.76,-0.47
4512.0,4.0,2.7,,,
4514.0,1.0,1.97,,,
4515.0,3.0,0.84,,,
4516.0,4.0,1.79,,,
4517.0,4.0,2.84,,,
4518.0,3.0,2.02,,,
4519.0,2.0,1.64,0.7,,
4525.0,4.0,1.08,,,
4533.0,1.0,2.97,,,
4552.0,3.0,0.94,,,
4553.0,1.0,2.97,1.94,,
4554.0,3.0,0.97,,,
4555.0,4.0,1.47,,,
4559.0,2.0,2.61,,,
4563.0,3.0,1.73,0.2,0.91,-0.82
4564.0,2.0,3.38,3.44,3.41,0.03000000000000025
4569.0,4.0,3.17,1.0,1.73,-1.44
4570.0,4.0,2.2,0.91,,
4571.0,2.0,2.14,,,
4582.0,1.0,1.29,1.58,0.81,-0.48
4590.0,2.0,3.21,2.85,,
4597.0,4.0,2.67,,,
4598.0,3.0,1.85,0.79,,
4601.0,4.0,1.35,,,
4607.0,4.0,2.14,0.76,,
4611.0,4.0,1.24,0.56,,
4654.0,4.0,2.02,1.78,2.55,0.5299999999999998
4655.0,4.0,2.32,,,
4663.0,4.0,1.08,0.23,,
4666.0,4.0,1.14,1.35,1.02,-0.11999999999999988
4690.0,3.0,2.14,1.82,,
4692.0,2.0,2.88,,,
4693.0,1.0,1.35,0.17,0.44,-0.9100000000000001
4694.0,3.0,1.0,1.7,,
4695.0,2.0,2.02,,,
4696.0,4.0,0.64,1.32,,
4697.0,1.0,0.29,0.14,,
4698.0,1.0,1.73,0.94,,
4699.0,4.0,1.82,1.52,,
4704.0,1.0,2.11,,,
4710.0,4.0,1.23,,,
4711.0,4.0,0.64,,,
4724.0,2.0,2.23,1.41,2.11,-0.1200000000000001
4725.0,4.0,2.44,0.32,,
4740.0,4.0,1.17,0.58,,
4744.0,3.0,0.61,0.44,,
4749.0,2.0,0.52,,,
4756.0,4.0,2.91,0.94,,
4758.0,1.0,2.61,1.44,,
4759.0,4.0,1.47,,,
4760.0,4.0,1.28,,,
4765.0,3.0,1.26,,,
